"Статус","Количество"
"Active","36"
"Accepted","24"
"Deferred","37"
"Final","332"
"Provisional","1"
"Rejected","125"
"Superseded","25"
"Withdrawn","67"
"Draft","40"
"","0"
"April Fool!","1"
"Total","688"
